FTR,B365H,B365D,B365A,ganancia
H,3.5,3.0,2.25,-1.0
D,2.25,3.1,3.4,2.1
H,2.5,3.0,3.0,-1.0
H,2.0,3.1,4.2,-1.0
H,2.1,3.1,3.8,-1.0
D,2.3,3.1,3.3,2.1
D,2.25,3.1,3.4,2.1
H,2.88,3.2,2.5,-1.0
D,2.15,3.1,3.6,2.1
D,2.3,3.1,3.25,2.1
H,2.1,3.0,4.0,-1.0
H,2.5,3.0,3.0,-1.0
A,2.0,3.2,4.0,-1.0
H,2.4,3.1,3.1,-1.0
A,2.88,3.0,2.63,-1.0
H,2.25,3.1,3.4,-1.0
H,3.1,3.1,2.38,-1.0
D,2.5,3.1,2.9,2.1
H,2.6,3.2,2.75,-1.0
A,2.2,3.1,3.5,-1.0
A,2.3,3.5,2.88,-1.0
H,2.15,3.2,3.25,-1.0
A,3.5,3.25,1.95,-1.0
D,2.7,3.2,2.4,2.2
A,3.0,3.25,2.2,-1.0
H,2.45,3.1,3.0,-1.0
D,2.5,3.0,3.0,2.0
A,2.2,3.0,3.6,-1.0
H,2.15,3.0,3.75,-1.0
A,2.25,3.0,3.5,-1.0
A,2.38,3.0,3.25,-1.0
D,2.1,3.0,4.0,2.0
A,2.5,3.2,2.8,-1.0
D,2.4,3.1,3.1,2.1
H,3.3,3.1,2.3,-1.0
A,2.6,3.2,2.8,-1.0
D,2.0,3.2,4.0,2.2
D,2.1,3.0,4.0,2.0
D,2.4,3.1,3.1,2.1
A,2.4,3.2,3.0,-1.0
A,2.5,3.0,3.0,-1.0
D,2.88,3.2,2.5,2.2
A,2.3,3.1,3.2,-1.0
H,2.05,3.2,3.75,-1.0
A,2.3,3.1,3.3,-1.0
A,2.4,3.1,3.1,-1.0
H,2.25,3.2,3.2,-1.0
H,2.4,3.3,2.9,-1.0
A,2.45,3.1,3.0,-1.0
D,2.38,3.0,3.2,2.0
A,2.1,3.4,3.4,-1.0
H,2.6,3.0,2.88,-1.0
H,2.4,3.1,3.1,-1.0
D,2.3,3.0,3.4,2.0
H,2.3,3.0,3.4,-1.0
D,3.2,3.3,2.25,2.3
D,2.0,3.3,3.8,2.3
H,2.4,3.2,3.0,-1.0
H,2.1,3.1,3.7,-1.0
H,2.2,3.2,3.4,-1.0
